latitude,longitude,soil_moisture_01,surface_temperature_01,soil_moisture_02,surface_temperature_02,soil_moisture_03,surface_temperature_03,soil_moisture_04,surface_temperature_04,soil_moisture_05,surface_temperature_05,soil_moisture_06,surface_temperature_06,soil_moisture_07,surface_temperature_07,soil_moisture_08,surface_temperature_08,soil_moisture_09,surface_temperature_09,soil_moisture_10,surface_temperature_10,soil_moisture_11,surface_temperature_11,soil_moisture_12,surface_temperature_12
-3.5327194,-65.16598,0.51698124,25.663354492187523,,,,,,,,,,,,,,,,,,,,,,
-55.40666,-73.75519,0,12.398126220703148,,,,,,,,,,,,,,,,,,,,,,
-39.950367,-49.107883,0,25.963159179687523,,,,,,,,,,,,,,,,,,,,,,
10.364119,-37.157677,0,31.892327880859398,,,,,,,,,,,,,,,,,,,,,,
-41.058483,-73.0083,0.3255184,18.711907958984398,,,,,,,,,,,,,,,,,,,,,,
-20.927721,-46.493774,0.16699824,27.478845214843773,,,,,,,,,,,,,,,,,,,,,,
-49.433758,-56.950207,0,15.065942382812523,,,,,,,,,,,,,,,,,,,,,,
-11.226317,-20.726141,0,31.255578613281273,,,,,,,,,,,,,,,,,,,,,,
3.8157291,-68.15353,0.5139414,25.334802246093773,,,,,,,,,,,,,,,,,,,,,,
-18.233519,-67.78008,0.049685486,16.528527832031273,,,,,,,,,,,,,,,,,,,,,,
-26.785158,-45.746887,0,32.1489196777344,,,,,,,,,,,,,,,,,,,,,,
-48.579163,-53.215767,0,14.628686523437523,,,,,,,,,,,,,,,,,,,,,,
-34.991234,-75.24896,0,24.660974121093773,,,,,,,,,,,,,,,,,,,,,,
-35.335194,-28.941908,0,24.190881347656273,,,,,,,,,,,,,,,,,,,,,,
-26.785158,-68.90041,0.0627335,9.513665771484398,,,,,,,,,,,,,,,,,,,,,,
-30.311827,-70.39419,0.08114403,13.444848632812523,,,,,,,,,,,,,,,,,,,,,,
2.4014523,-61.804977,0.3927477,27.394677734375023,,,,,,,,,,,,,,,,,,,,,,
-39.22136,-79.35685,0,22.607324218750023,,,,,,,,,,,,,,,,,,,,,,
-18.828493,-43.506226,0.16843142,28.358300781250023,,,,,,,,,,,,,,,,,,,,,,
-32.28808,-49.85477,0,30.060449218750023,,,,,,,,,,,,,,,,,,,,,,
-48.15719,-23.340248,0,11.308526611328148,,,,,,,,,,,,,,,,,,,,,,
-39.950367,-71.51453,0.22355026,12.193841552734398,,,,,,,,,,,,,,,,,,,,,,
9.504226,-62.55187,0.50352067,28.966333007812523,,,,,,,,,,,,,,,,,,,,,,
11.514265,-41.639004,0,31.982812500000023,,,,,,,,,,,,,,,,,,,,,,
-17.640526,-46.12033,0.14490351,30.503533935546898,,,,,,,,,,,,,,,,,,,,,,
-10.938648,-37.904564,0.06557074,31.629235839843773,,,,,,,,,,,,,,,,,,,,,,
-34.30753,-70.76763,0.1544393,24.630029296875023,,,,,,,,,,,,,,,,,,,,,,
-49.00465,-55.829876,0,14.316949462890648,,,,,,,,,,,,,,,,,,,,,,
-2.4014523,-39.771786,0,34.0670104980469,,,,,,,,,,,,,,,,,,,,,,
-26.470053,-70.020744,0.07080274,28.088342285156273,,,,,,,,,,,,,,,,,,,,,,
7.790537,-67.40664,0.3717632,35.86910400390627,,,,,,,,,,,,,,,,,,,,,,
-55.40666,-80.10374,0,12.299554443359398,,,,,,,,,,,,,,,,,,,,,,
-43.332268,-57.697094,0,19.904138183593773,,,,,,,,,,,,,,,,,,,,,,
10.651252,-63.298756,0.49280643,28.269342041015648,,,,,,,,,,,,,,,,,,,,,,
-30.638416,-46.493774,0,29.907220458984398,,,,,,,,,,,,,,,,,,,,,,
-53.954033,-56.20332,0,12.260583496093773,,,,,,,,,,,,,,,,,,,,,,
-54.916687,-55.08299,0,11.285913085937523,,,,,,,,,,,,,,,,,,,,,,
