latitude,longitude,soil_moisture_01, soil_mp,soil_moisture,surface_temperature_01, suf_temp_mp,surface_temperature,soil_moisture_02,surface_temperature_02,soil_moisture_03,surface_temperature_03,soil_moisture_04,surface_temperature_04,soil_moisture_05,surface_temperature_05,soil_moisture_06,surface_temperature_06,soil_moisture_07,surface_temperature_07,soil_moisture_08,surface_temperature_08,soil_moisture_09,surface_temperature_09,soil_moisture_10,surface_temperature_10,soil_moisture_11,surface_temperature_11,soil_moisture_12,surface_temperature_12
11.514265,-22.966805,0,0,0,380.366442871094,12,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-22.59336,0,0,0,380.5884277343750,12,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-22.219917,0,0,0,380.5184204101570,12,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-21.846474,0,0,0,379.9903137207030,12,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-21.473028,0,0,0,379.1140930175780,12,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-21.099585,0,0,0,441.42798461914100,14,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-20.726141,0,0,0,472.2109985351570,15,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-79.73029,0,0,0,408.90223999023500,12,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-79.35685,0,0,0,509.6707153320320,15,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-78.983406,0,0,0,372.46865234375000,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-78.609955,0,0,0,371.4635559082030,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-78.23651,0,0,0,370.5817810058600,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-77.86307,0,0,0,369.9471374511720,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-77.489624,0,0,0,369.3417602539070,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-77.11618,0,0,0,369.0490051269530,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-76.74274,0,0,0,369.297937011719,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-76.36929,0,0,0,506.2049255371100,15,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-75.99585,0,0,0,373.6023498535160,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-75.622406,0,0,0,372.948327636719,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-75.24896,0,0,0,374.1427856445320,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-74.87552,0,0,0,377.9920593261720,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-74.502075,0,0,0,374.6882263183600,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-74.12863,5.319774,11,0.483615818181818,318.12697753906300,11,0.001520197444187,,,,,,,,,,,,,,,,,,,,,,
11.226317,-73.75519,5.803035,11,0.527548636363636,291.0631042480470,11,0.00181248886809801,,,,,,,,,,,,,,,,,,,,,,
11.226317,-73.381744,8.20583,15,0.547055333333333,404.94473266601600,15,0.00135093826194925,,,,,,,,,,,,,,,,,,,,,,
11.226317,-73.0083,3.2319088,14,0.230850628571429,420.3080810546880,14,0.000549241470666352,,,,,,,,,,,,,,,,,,,,,,
11.226317,-72.63486,1.7491132,12,0.145759433333333,369.87282104492200,12,0.000394079870268787,,,,,,,,,,,,,,,,,,,,,,
11.226317,-72.26141,1.4233236,12,0.1186103,371.06056518554700,12,0.000319652129944581,,,,,,,,,,,,,,,,,,,,,,
11.226317,-71.88797,0,0,0,398.6744873046880,12,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-71.51453,0,0,0,400.769030761719,12,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-71.141075,0,0,0,404.8858215332030,12,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-70.76763,0,0,0,419.7529785156250,12,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-70.39419,4.9417014,15,0.32944676,523.6283874511720,15,0.000629161382184843,,,,,,,,,,,,,,,,,,,,,,
11.226317,-70.020744,3.9971015,15,0.266473433333333,499.86450195312500,15,0.000533091332335341,,,,,,,,,,,,,,,,,,,,,,
11.226317,-55.08299,0,0,0,362.5290161132820,11,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-54.709545,0,0,0,461.34656372070300,14,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-54.336098,0,0,0,329.3925476074220,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-53.962654,0,0,0,329.0456542968750,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-53.58921,0,0,0,328.656921386719,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-53.215767,0,0,0,328.2737426757820,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-52.842323,0,0,0,327.8010864257820,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-52.46888,0,0,0,327.35305786132800,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-52.095436,0,0,0,327.1137390136720,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-51.721992,0,0,0,457.71277465820300,14,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-51.34855,0,0,0,326.4970397949220,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-50.975105,0,0,0,326.2921142578130,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-50.601658,0,0,0,326.1856384277350,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-50.228214,0,0,0,325.8957519531250,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-49.85477,0,0,0,325.4045410156250,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-49.481327,0,0,0,324.9816589355470,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-49.107883,0,0,0,324.64273071289100,10,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-48.73444,0,0,0,453.35681762695300,14,0,,,,,,,,,,,,,,,,,,,,,,
11.226317,-48.360996,0,0,0,420.12989501953200,13,0,,,,,,,,,,,,,,,,,,,,,,
