Start date;End date;Country;ISO;Location;Disaster type;Disaster subtype;Total affected;Total damage ('000 US$);Insured losses ('000 US$);Total deaths;Disaster No.
16/1/2019;16/1/2019;Bolivia (Plurinational State of);BOL;Santa Cruz, Cochabamba, Tarija, Potosi, northern part of La Paz;Flood;--;14000;0;0;0;2019-0037
1/2/2019;10/2/2019;Chile;CHL;Arica y Parinacota, Tarapac�, Antofagasta regions;Flood;--;600;0;0;6;2019-0091
7/2/2019;7/2/2019;Peru;PER;Arequipa, Ancash, Loreto, Tacna, Moquegua ;Flood;--;0;0;0;10;2019-0093
20/2/2019;26/2/2019;Colombia;COL;Condoto, Tad�, C�rtegui, Andagoya, R�o Ir� e Istmina municipalities (Choc� department);Flood;--;9000;0;0;0;2019-0075
21/2/2019;5/3/2019;Ecuador;ECU;"La Delia, El Colorado (Los Rios Province);  Santa Ana Canton, Manab�, Pastaza provinces";Flood;--;3000;0;0;14;2019-0078
21/2/2019;28/2/2019;Peru;PER;Apurimac, Arequipa, Ayacucho, Cusco, Huancavelica, Ica, Lima, Moquegua, Puno, Tacna;Flood;--;8379;0;0;51;2019-0072
24/2/2019;10/4/2019;Bolivia (Plurinational State of);BOL;Chuquisaca, La Paz, Potos�, Oruro, Cochabamba, Tarija, Pando, Beni, Santa Cruz departments;Flood;--;335540;0;0;58;2019-0073
10/3/2019;11/3/2019;Brazil;BRA;S�o Paulo, S�o Bernardo do Campo, Ribeir�o Pires, Suzano (Sao Paulo);Flood;--;1306;0;0;12;2019-0100
15/3/2019;4/4/2019;Paraguay;PRY;Asuncion, Distrito Capital;Flood;Riverine flood;2000;0;0;1;2019-0150
1/4/2019;13/5/2019;Paraguay;PRY;�eembuc�, Presidente Hayes, Alto Paraguay, Concepci�n, Capital, Misiones, San Pedro, Central Departments;Flood;--;310595;0;0;16;2019-0197
7/4/2019;15/4/2019;Colombia;COL;Antioquia, Nari�o, Cauca, Cundinamarca, Huila, Caldas, Caquet�;Flood;--;1647;0;0;14;2019-0159
8/4/2019;9/4/2019;Brazil;BRA;Rio de Janeiro, Maranhao, Piaui, Sao Paulo states;Flood;--;4500;0;0;10;2019-0146
23/4/2019;23/4/2019;Argentina;ARG;Resistencia, Barranqueras, General Pinedo, Charata, Las Bre�as, Saenz Pe�a, Corrientes cities (Chaco, Formosa, Corrientes  provinces);Flood;--;1800;0;0;2;2019-0185
8/5/2019;9/5/2019;Paraguay;PRY;Asuncion, Pilar;Flood;Riverine flood;310595;0;0;0;2019-0245
11/6/2019;24/6/2019;Uruguay;URY;Florida, Durazno;Flood;--;7406;0;0;0;2019-0273
13/6/2019;13/6/2019;Brazil;BRA;Pernambuco state;Flood;Flash flood;30000;0;0;7;2019-0309
